,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43
Glc.x,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gln.x,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ser.x,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyr.x,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Asp.x,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
Ala.x,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Glu.x,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lac.x,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Lipids,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
AcCoA.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Suc.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Fum.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Mal.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
Cit.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Lac.t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Glc,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,,,,,,,
Pyr.c,,2,-1,,,,,,,,,,1,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,,,
Lac.c,,,1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,,,,
Pyr.m,,,,-1,,,,,,,,,,,,,,,,,,-1,1,-1,1,,,,,,,,,,,,,,,,,,
AcCoA.m,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAA.m,,,,,-1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cit.m,,,,,1,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1
AKG.m,,,,,,1,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suc.m,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,
Fum.m,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,
Mal.m,,,,,,,,,1,-1,,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,,,-1,,
OAA.c,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-1,-1,,,,,,,,,,,,,
Gln,,,,,,,,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,
Glu,,,,,,,,,,,1,-1,,,,,,,-1,,,,,,,,,,,,,,,-0.12,,,,,,,,,
AKG.m,,,,,,1,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ser,,,,,,,,,,,,,-1,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gly,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,-0.17,,,,,,,,,
Ala,,,,,,,,,,,,,,,,,-1,,,,,,,1,,,,,,,,,,-0.19,,,,,,,,,
Asp,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,-1,-0.11,,,,,,,,,,
Cit.c,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,-1,
AcCoA.c,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,-1,,,,,,,
Mal.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,,,,,,,,-1,,,
Fum.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,-1,,,,,
