X	Y
0.708487	-0.00242869
0.789668	-0.00239143
0.863469	3.96E-04
0.944649	0.00594132
1.03321	0.0142436
1.11439	0.0170347
1.19557	0.017072
1.26199	0.0198563
1.35793	0.0199004
1.43173	0.0171804
1.51292	0.00895601
1.58672	0.00348214
1.6679	0.0035194
1.74908	0.00355666
1.83026	0.00910167
1.91144	0.0201544
1.99262	0.0312072
2.0738	0.0532754
2.15498	0.0863591
2.23616	0.133212
2.30996	0.210355
2.39114	0.334316
2.47232	0.505093
2.55351	0.711671
2.62731	0.94303
2.71587	1.16613
2.78967	1.32589
2.87823	1.40029
2.96679	1.36177
3.03321	1.2131
3.11439	0.99007
3.19557	0.736751
3.28413	0.494451
3.36531	0.304471
3.43173	0.169561
3.5203	0.0869858
3.60148	0.0374533
3.68266	0.0154596
3.74908	0.00447462
3.83764	-9.92E-04
3.91882	-9.55E-04
4.00738	-9.15E-04
