Process Time,24 Hours,,,,,,,,48 Hours,,,,,,,,72 Hours,,,,,,,
Aggregate Radius,60 ?m,,120 ?m,,240 ?m,,360 ?m,,60 ?m,,120 ?m,,240 ?m,,360 ?m,,60 ?m,,120 ?m,,240 ?m,,360 ?m,
Reaction,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells
HK,2.06E+03,2.01E+03,2.05E+03,1.88E+03,2.25E+03,2.19E+03,2.25E+03,2.03E+03,1.42E+03,1.39E+03,1.28E+03,1.20E+03,1.53E+03,1.19E+03,1.58E+03,1.11E+03,2.42E+02,2.25E+02,2.28E+02,1.80E+02,2.61E+02,8.31E+01,2.68E+02,1.50E+01
PGI,8.85E+02,8.77E+02,9.05E+02,8.77E+02,5.91E+02,5.91E+02,5.78E+02,5.78E+02,9.27E+02,9.18E+02,1.08E+03,1.05E+03,7.15E+02,6.77E+02,5.83E+02,5.87E+02,9.27E+02,9.19E+02,1.03E+03,9.78E+02,7.13E+02,4.56E+02,5.96E+02,5.39E+02
PEKALD,7.66E+02,7.57E+02,7.79E+02,7.79E+02,7.50E+02,7.55E+02,7.53E+02,7.53E+02,7.99E+02,7.92E+02,1.02E+03,1.00E+03,7.26E+02,7.41E+02,7.51E+02,7.30E+02,8.02E+02,7.97E+02,1.07E+03,1.04E+03,7.85E+02,6.20E+02,7.21E+02,7.15E+02
PGK,1.46E+03,1.46E+03,1.47E+03,1.46E+03,1.41E+03,1.41E+03,1.40E+03,1.40E+03,1.49E+03,1.49E+03,1.90E+03,1.89E+03,1.43E+03,1.41E+03,1.41E+03,1.43E+03,1.49E+03,1.49E+03,2.11E+03,2.05E+03,1.59E+03,1.38E+03,1.42E+03,1.50E+03
PK,1.10E+03,1.11E+03,1.16E+03,1.15E+03,6.63E+01,5.29E+01,9.05E-01,1.88E-02,1.22E+03,1.23E+03,1.75E+03,1.70E+03,7.63E+02,7.05E+02,3.47E+01,6.28E+01,1.23E+03,1.24E+03,2.03E+03,2.03E+03,1.55E+03,1.44E+03,6.05E+02,5.19E+02
LDHf,1.30E+03,1.31E+03,1.30E+03,1.28E+03,1.50E+03,1.51E+03,1.52E+03,1.52E+03,1.33E+03,1.33E+03,1.64E+03,1.63E+03,1.28E+03,1.38E+03,1.51E+03,1.52E+03,1.33E+03,1.34E+03,1.91E+03,1.85E+03,1.50E+03,1.47E+03,1.31E+03,1.27E+03
LDHr,5.32E+01,5.46E+01,5.48E+01,5.70E+01,1.26E+01,7.70E+00,2.29E-01,4.39E-02,5.72E+01,5.84E+01,7.01E+01,7.07E+01,5.42E+01,5.34E+01,8.07E+00,3.67E+00,5.76E+01,5.86E+01,7.93E+01,7.82E+01,6.77E+01,7.20E+01,5.18E+01,5.11E+01
PyrT,9.68E+01,9.04E+01,9.68E+01,7.41E+01,9.68E+01,1.47E+01,9.68E+01,4.52E-02,3.18E+01,2.63E+01,3.18E+01,1.56E+01,3.18E+01,1.30E+00,3.18E+01,5.00E-03,3.28E-01,2.64E-01,3.28E-01,1.56E-01,3.28E-01,2.18E-02,3.28E-01,7.83E-04
LacTf,1.54E+03,1.58E+03,1.59E+03,1.65E+03,3.66E+02,2.23E+02,6.66E+00,1.28E+00,1.66E+03,1.69E+03,2.04E+03,2.05E+03,1.57E+03,1.55E+03,2.34E+02,1.06E+02,1.67E+03,1.70E+03,2.31E+03,2.28E+03,1.96E+03,2.09E+03,1.50E+03,1.48E+03
LacTr,4.19E+02,4.47E+02,4.19E+02,4.89E+02,4.19E+02,3.98E+02,4.19E+02,6.53E+00,5.46E+02,5.49E+02,5.46E+02,5.56E+02,5.46E+02,5.66E+02,5.46E+02,5.13E+02,5.83E+02,5.83E+02,5.83E+02,5.84E+02,5.83E+02,5.86E+02,5.83E+02,5.87E+02
OP,7.47E+00,7.41E+00,7.64E+00,7.40E+00,4.98E+00,4.98E+00,4.88E+00,4.88E+00,7.82E+00,7.75E+00,9.10E+00,8.83E+00,6.04E+00,5.71E+00,4.92E+00,4.96E+00,7.83E+00,7.76E+00,8.72E+00,8.26E+00,6.02E+00,3.85E+00,5.03E+00,4.55E+00
NOP,8.81E-01,9.74E-01,1.02E+00,1.25E+00,2.47E-02,5.80E-03,5.80E-03,5.80E-03,1.14E+00,1.44E+00,2.53E+00,2.09E+00,3.87E-01,5.80E-03,1.75E-02,5.80E-03,1.17E+00,1.42E+00,2.87E+00,3.37E+00,1.91E+00,1.55E+00,2.41E-01,5.80E-03
PDH,8.77E+01,8.81E+01,8.77E+01,8.60E+01,1.01E+02,1.02E+02,1.02E+02,1.02E+02,8.96E+01,8.97E+01,1.11E+02,1.10E+02,8.63E+01,9.32E+01,1.01E+02,1.02E+02,8.97E+01,8.99E+01,1.28E+02,1.25E+02,1.01E+02,9.89E+01,8.82E+01,8.55E+01
CS,1.12E+02,1.11E+02,1.12E+02,1.09E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.12E+02,1.11E+02,1.08E+02,1.05E+02,1.09E+02,1.10E+02,1.04E+02,1.04E+02,1.12E+02,1.11E+02,1.19E+02,1.20E+02,1.03E+02,9.99E+01,1.08E+02,1.04E+02
CITSISODf,6.50E+01,6.56E+01,5.59E+01,5.62E+01,1.91E+02,1.88E+02,1.96E+02,1.96E+02,4.95E+01,4.97E+01,3.10E+01,3.18E+01,1.15E+02,1.17E+02,1.94E+02,1.93E+02,4.86E+01,4.85E+01,3.41E+01,3.32E+01,2.97E+01,2.78E+01,1.36E+02,1.57E+02
CITSISODr,5.52E+00,5.53E+00,5.61E+00,5.60E+00,5.65E+00,5.62E+00,5.64E+00,5.64E+00,5.46E+00,5.43E+00,5.01E+00,4.94E+00,5.76E+00,5.60E+00,5.65E+00,5.58E+00,5.45E+00,5.42E+00,4.88E+00,4.78E+00,4.64E+00,4.03E+00,5.74E+00,5.70E+00
AKGDH,1.25E+02,1.25E+02,1.27E+02,1.27E+02,1.28E+02,1.27E+02,1.28E+02,1.28E+02,1.24E+02,1.23E+02,1.14E+02,1.12E+02,1.31E+02,1.27E+02,1.28E+02,1.27E+02,1.24E+02,1.23E+02,1.11E+02,1.08E+02,1.05E+02,9.13E+01,1.30E+02,1.29E+02
SDH,1.65E+02,1.65E+02,1.65E+02,1.66E+02,1.68E+02,1.68E+02,1.68E+02,1.68E+02,1.64E+02,1.64E+02,1.54E+02,1.55E+02,1.67E+02,1.67E+02,1.68E+02,1.68E+02,1.64E+02,1.64E+02,1.41E+02,1.41E+02,1.54E+02,1.50E+02,1.67E+02,1.64E+02
FUMf,1.65E+02,1.66E+02,1.65E+02,1.63E+02,1.63E+02,1.63E+02,1.63E+02,1.63E+02,1.66E+02,1.66E+02,1.66E+02,1.67E+02,1.64E+02,1.63E+02,1.63E+02,1.63E+02,1.66E+02,1.66E+02,1.63E+02,1.63E+02,1.66E+02,1.69E+02,1.64E+02,1.67E+02
FUMr,1.94E+01,1.93E+01,1.79E+01,1.85E+01,2.57E+01,2.57E+01,2.58E+01,2.58E+01,1.61E+01,1.62E+01,6.65E+00,7.31E+00,2.34E+01,2.35E+01,2.58E+01,2.58E+01,1.58E+01,1.59E+01,6.73E+00,6.78E+00,6.62E+00,6.99E+00,2.43E+01,2.39E+01
MLDf,6.91E+02,6.89E+02,6.39E+02,6.61E+02,9.17E+02,9.17E+02,9.20E+02,9.20E+02,5.74E+02,5.77E+02,2.37E+02,2.61E+02,8.36E+02,8.38E+02,9.18E+02,9.20E+02,5.63E+02,5.67E+02,2.40E+02,2.42E+02,2.36E+02,2.49E+02,8.67E+02,8.52E+02
MLDr,7.45E+01,7.45E+01,7.52E+01,7.50E+01,6.68E+01,6.69E+01,6.65E+01,6.65E+01,7.59E+01,7.59E+01,7.92E+01,7.91E+01,7.12E+01,7.09E+01,6.67E+01,6.67E+01,7.60E+01,7.60E+01,8.07E+01,8.07E+01,7.91E+01,7.84E+01,6.99E+01,6.99E+01
ME,2.42E+02,2.41E+02,2.24E+02,2.31E+02,3.21E+02,3.21E+02,3.22E+02,3.22E+02,2.01E+02,2.02E+02,8.31E+01,9.12E+01,2.93E+02,2.94E+02,3.22E+02,3.22E+02,1.97E+02,1.98E+02,8.41E+01,8.47E+01,8.27E+01,8.72E+01,3.04E+02,2.98E+02
PC,2.45E+01,2.46E+01,2.45E+01,2.40E+01,2.81E+01,2.84E+01,2.85E+01,2.85E+01,2.50E+01,2.50E+01,3.08E+01,3.07E+01,2.41E+01,2.60E+01,2.83E+01,2.85E+01,2.50E+01,2.51E+01,3.58E+01,3.48E+01,2.81E+01,2.76E+01,2.46E+01,2.38E+01
